branch number, first bus number, second bus number
1078,76488,6120
1079,6121,9611
1080,77042,6121
1081,6122,6130
1082,6128,77054
1083,6130,77056
1084,6134,9599
1085,77053,6134
1086,6136,6137
1087,77056,6136
1088,6138,6149
1089,6138,6180
1090,6140,6794
1091,77054,6140
1092,77056,6140
1093,6145,6146
1094,6145,6148
1095,6146,6158
1096,6147,6152
1097,6148,6149
1098,6152,6157
1099,6157,6163
1100,6158,6159
1101,6159,6168
1102,6160,6165
1103,6163,6165
1104,6163,6167
1105,6165,6169
1106,6165,9654
1107,6167,6171
1108,6168,6172
1109,6169,6178
1110,6171,6175
1111,6172,6174
1112,6174,6182
1113,6175,6179
1114,6178,6189
1115,6179,6183
1116,6180,6190
1117,6180,6190
1118,6180,6243
1119,6180,6243
1120,6182,6190
1121,6182,6190
1122,6183,6191
1123,6184,6186
1124,6184,6190
1125,6186,6188
1126,6186,6192
1127,6186,6245
1128,6188,6218
1129,6189,6193
1130,6190,6196
1131,76582,6190
1132,6191,6195
1133,6191,6218
1134,6192,6220
1135,6193,6206
1136,6194,6196
1137,76582,6194
1138,6195,6200
1139,6198,6201
1140,6198,6245
1141,6200,6218
1142,6201,6222
1143,6202,6207
1144,6206,6209
1145,6206,6254
1146,6207,6213
1147,6209,6211
1148,6211,6215
1149,6213,6221
1150,6213,6233
1151,6214,6229
1152,76582,6214
1153,6214,77095
1154,6215,6217
1155,6217,6229
1156,6218,6220
1157,6221,6226
1158,6222,6254
1159,6225,6226
1160,6225,6228
1161,6228,6232
1162,6228,8748
1163,6232,6236
1164,6233,6235
1165,6234,6235
1166,6234,6238
1167,6236,6241
1168,6238,6242
1169,6241,6244
1170,6242,6248
1171,76484,6243
1172,76484,6243
1173,6244,6248
1174,6244,6249
1175,76582,6245
1176,6248,77095
1177,6249,77095
1178,6251,8305
1179,6252,6257
1180,77095,6252
1181,77094,6264
1182,6270,6271
1183,77098,6270
1184,6271,6275
1185,6275,6276
1186,77098,6275
1187,6276,6277
1188,76543,6304
1189,76530,6305
1190,76530,6309
1191,76530,6314
1192,6319,6320
1193,6319,6329
1194,76460,6329
1195,76460,6339
1196,76543,6339
1197,6343,6347
1198,6343,6348
1199,6345,6355
1200,6345,6413
1201,6346,6348
1202,6346,6413
1203,6347,6350
1204,6350,6406
1205,6350,77121
1206,6352,6355
1207,6352,6359
1208,6359,6406
1209,6360,6413
1210,6363,77121
1211,6365,6371
1212,6365,6405
1213,6369,6405
1214,6369,6415
1215,6371,6386
1216,6376,6536
1217,6377,6378
1218,6377,6378
1219,77121,6377
1220,77121,6377
1221,6378,6403
1222,6378,6403
1223,6386,6387
1224,6387,6389
1225,6399,6400
1226,6399,6412
1227,6400,6401
1228,6403,6415
1229,6403,6415
1230,6409,6411
1231,6409,6676
1232,6410,6412
1233,6410,6531
1234,77121,6410
1235,77121,6413
1236,6419,6423
1237,6419,6519
1238,6419,6523
1239,6423,6427
1240,6425,6430
